#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
60,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,698,1,-71,1946,Candidate Master
59,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,153,4,+75,2017,Candidate Master
58,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,939,4,-34,1942,Candidate Master
57,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1048,3,+3,1976,Candidate Master
56,Codeforces Round 722 (Div. 2),May/24/2021 17:35,117,4,+79,1973,Candidate Master
55,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,1686,2,-92,1894,Expert
54,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,677,4,-34,1986,Candidate Master
53,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,199,4,+46,2020,Candidate Master
52,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,67,4,+112,1974,Candidate Master
51,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,758,3,-5,1862,Expert
50,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,277,4,+85,1867,Expert
49,Codeforces Global Round 13,Feb/28/2021 16:35,3317,2,-75,1782,Expert
48,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,699,3,+17,1857,Expert
47,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1670,3,-35,1840,Expert
46,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,2078,4,-79,1875,Expert
45,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,178,4,+111,1954,Candidate Master
44,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,479,3,+42,1843,Expert
43,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,3116,2,-89,1801,Expert
42,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,476,4,+58,1890,Expert
41,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,496,3,+38,1832,Expert
40,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,1350,3,-11,1794,Expert
39,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,899,4,+16,1805,Expert
38,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,1068,2,+23,1789,Expert
37,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,301,4,+109,1766,Expert
36,Good Bye 2020,Dec/30/2020 17:35,1778,5,+83,1657,Expert
35,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,881,4,+117,1574,Specialist
34,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,5893,1,-119,1457,Specialist
33,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,613,3,+84,1576,Specialist
32,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,4648,1,-53,1492,Specialist
31,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,1877,4,-31,1545,Specialist
30,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,2845,2,-47,1576,Specialist
29,Codeforces Global Round 12,Dec/06/2020 17:35,917,4,+150,1623,Expert
28,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,2616,3,+21,1473,Specialist
27,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,1495,3,+24,1452,Specialist
26,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,2391,4,-6,1428,Specialist
25,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,3080,3,+19,1434,Specialist
24,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,1899,3,+67,1415,Specialist
23,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,4307,2,-39,1348,Pupil
22,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1543,3,+47,1387,Pupil
21,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,3816,2,-47,1340,Pupil
20,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,2738,2,+36,1387,Pupil
19,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,1421,2,+80,1351,Pupil
18,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,7476,1,-87,1271,Pupil
17,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,2122,3,+75,1358,Pupil
16,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,2980,2,+46,1283,Pupil
15,Grakn Forces 2020,Sep/30/2020 17:35,3953,2,+49,1237,Pupil
14,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,3809,2,+18,1188,Newbie
13,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,6857,2,-7,1170,Newbie
12,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,6109,2,-11,1177,Newbie
11,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,6682,1,-22,1188,Newbie
10,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,3971,2,+94,1210,Pupil
9,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,8673,1,-51,1116,Newbie
8,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,4061,3,+68,1167,Newbie
7,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,10264,1,-37,1099,Newbie
6,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,9849,1,-55,1136,Newbie
5,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,8119,1,+8,1191,Newbie
4,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,5671,1,-32,1183,Newbie
3,Hello 2020,Jan/04/2020 15:05,7214,1,-69,1215,Pupil
2,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,5860,1,-86,1284,Pupil
1,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,5133,0,-130,1370,Pupil
